Paleomag Scale
paleomag_scale_name	chron_name	chron_alias	chron_polarity_dir	chron_age_min_ma	chron_age_max_ma	chron_id	parent_chron_id
Grad04	C6Cn.1r		R	22.754	22.902	129	127
Grad04	C6Cn.2n		N	22.902	23.030	130	127
Grad04	C6Cn.2r		R	23.030	23.249	131	127
Grad04	C6Cn.3n		N	23.249	23.375	132	127
Grad04	C6Cr		R	23.375	24.044	133	127
Grad04	C7			24.044	24.915	134	134
Grad04	C7n.1n		N	24.044	24.102	135	134
Grad04	C7n.1r		R	24.102	24.163	136	134
Grad04	C7n.2n		N	24.163	24.556	137	134
Grad04	C7r		R	24.556	24.915	138	134
Grad04	C7A			24.915	25.295	139	139
Grad04	C7An		N	24.915	25.091	140	139
Grad04	C7Ar		R	25.091	25.295	141	139
Grad04	C8			25.295	26.714	142	142
Grad04	C8n.1n		N	25.295	25.444	143	142
Grad04	C8n.1r		R	25.444	25.492	144	142
Grad04	C8n.2n		N	25.492	26.154	145	142
Grad04	C8r		R	26.154	26.714	146	142
Grad04	C9			26.714	28.186	147	147
Grad04	C9n		N	26.714	27.826	148	147
Grad04	C9r		R	27.826	28.186	149	147
Grad04	C10			28.186	29.451	150	150
Grad04	C10n.1n		N	28.186	28.450	151	150
Grad04	C10n.1r		R	28.450	28.525	152	150
Grad04	C10n.2n		N	28.525	28.715	153	150
Grad04	C10r		R	28.715	29.451	154	150
Grad04	C11			29.451	30.627	155	155
Grad04	C11n.1n		N	29.451	29.740	156	155
Grad04	C11n.1r		R	29.740	29.853	157	155
Grad04	C11n.2n		N	29.853	30.217	158	155
Grad04	C11r		R	30.217	30.627	159	155
Grad04	C12			30.627	33.266	160	160
Grad04	C12n		N	30.627	31.116	161	160
Grad04	C12r		R	31.116	33.266	162	160
Grad04	C13			33.266	34.782	163	163
Grad04	C13n		N	33.266	33.738	164	163
Grad04	C13r		R	33.738	34.782	165	163
Grad04	C15			34.782	35.404	166	166
Grad04	C15n		N	34.782	35.043	167	166
Grad04	C15r		R	35.043	35.404	168	166
Grad04	C16			35.404	36.512	169	169
Grad04	C16n.1n		N	35.404	35.567	170	169
Grad04	C16n.1r		R	35.567	35.707	171	169
Grad04	C16n.2n		N	35.707	36.276	172	169
Grad04	C16r		R	36.276	36.512	173	169
Grad04	C17			36.512	38.032	174	174
Grad04	C17n.1n		N	36.512	37.235	175	174
Grad04	C17n.1r		R	37.235	37.345	176	174
Grad04	C17n.2n		N	37.345	37.549	177	174
Grad04	C17n.2r		R	37.549	37.610	178	174
Grad04	C17n.3n		N	37.610	37.771	179	174
Grad04	C17r		R	37.771	38.032	180	174
Grad04	C18			38.032	40.439	181	181
Grad04	C18n.1n		N	38.032	38.975	182	181
Grad04	C18n.1r		R	38.975	39.041	183	181
Grad04	C18n.2n		N	39.041	39.464	184	181
